[from, to, relation, date]
["42167291116", "15292535857", "SPOUSE", "2018-10-22"]
["89099625554", "67245716854", "OFFSPRING", "1976-11-20"]
["80309559746", "42043377667", "OFFSPRING", "1984-05-26"]
["42043377667", "89099625554", "SIBLING", "1973-03-02"]
["11825927551", "87474057898", "PARENT", "2009-12-20"]
["19081257821", "64675292699", "SPOUSE", "1996-04-14"]
["82410881555", "36763226184", "SPOUSE", "1990-02-06"]
["65024499608", "92637325775", "SPOUSE", "1974-12-05"]
["71477117859", "33471662463", "OFFSPRING", "1970-11-13"]
["19081257821", "31744245149", "SPOUSE", "1998-02-17"]
["89099625554", "81729767675", "PARENT", "1975-02-23"]
["51352605215", "69191273419", "SPOUSE", "1981-06-24"]
["75899312417", "87179915573", "SPOUSE", "2017-07-27"]
["90766043717", "93395191107", "SPOUSE", "2004-07-29"]
["81041355243", "46730468386", "SPOUSE", "2008-04-22"]
["75311164356", "92637325775", "SPOUSE", "2004-07-11"]
["69191273419", "75670892400", "SIBLING", "2011-03-09"]
["15292535857", "49737196131", "SPOUSE", "2006-10-09"]
["36763226184", "86491215045", "SPOUSE", "1977-01-04"]
["93395191107", "90208511396", "PARENT", "2001-04-17"]
["65024499608", "58814184889", "SPOUSE", "2015-10-01"]
["10318184959", "86491215045", "SPOUSE", "1998-04-13"]
["36763226184", "49737196131", "OFFSPRING", "2007-09-03"]
["30422525320", "72309449583", "SPOUSE", "2018-05-10"]
["36763226184", "82410881555", "SPOUSE", "1990-02-06"]
["15003722057", "93395191107", "SPOUSE", "2016-01-08"]
["58814184889", "69448536714", "SIBLING", "1972-08-30"]
["33553765741", "77132792314", "SPOUSE", "1991-04-04"]
["69448536714", "10318184959", "SPOUSE", "1986-01-29"]
["93325550487", "22824903205", "SPOUSE", "2017-07-07"]
["46519294740", "48070356279", "SIBLING", "1975-04-22"]
["86491215045", "90766043717", "PARENT", "1996-07-07"]
["51481148599", "40379122367", "SPOUSE", "1994-10-14"]
["16867894969", "56564771843", "SIBLING", "2005-10-18"]
["30937646422", "89501156330", "OFFSPRING", "1991-06-30"]
["88999167612", "47674564865", "SPOUSE", "1994-11-04"]
["21840356076", "90208511396", "SIBLING", "1983-10-24"]
["62682190910", "55059926183", "SPOUSE", "2002-04-15"]
["55789494292", "84320556439", "SIBLING", "1980-09-28"]
["42167291116", "46519294740", "SIBLING", "2009-06-13"]
["67245716854", "15292535857", "SPOUSE", "1997-07-02"]
["46091309461", "89099625554", "PARENT", "1979-11-04"]
["65024499608", "55789494292", "SIBLING", "1980-11-01"]
["80309559746", "69568323150", "PARENT", "2014-11-02"]
["40119347287", "22824903205", "SIBLING", "1973-11-20"]
["77888219035", "42167291116", "OFFSPRING", "2001-06-11"]
["68457066061", "90857258083", "PARENT", "1978-10-04"]
["76465777888", "70232533224", "SPOUSE", "1991-04-02"]
["46519294740", "51481148599", "OFFSPRING", "1980-05-25"]
["46730468386", "86778582069", "SIBLING", "2008-10-19"]
["69448536714", "40379122367", "OFFSPRING", "1979-01-05"]
["30422525320", "69191273419", "SPOUSE", "2018-07-17"]
["72309449583", "65024499608", "PARENT", "1983-12-19"]
["40119347287", "39778750260", "SPOUSE", "1997-06-26"]
["46519294740", "81729767675", "OFFSPRING", "1976-04-16"]
["21840356076", "72309449583", "SPOUSE", "2015-01-22"]
["86491215045", "15292535857", "PARENT", "1974-12-16"]
["58814184889", "75899312417", "SPOUSE", "1987-12-08"]
["48070356279", "80309559746", "SPOUSE", "2000-01-17"]
["40119347287", "90792622874", "SIBLING", "2004-04-12"]
["76468328120", "39778750260", "SIBLING", "1984-02-05"]
["27829673848", "36763226184", "PARENT", "2003-11-16"]
["88999167612", "11825927551", "SPOUSE", "1998-04-14"]
["46519294740", "36405577647", "PARENT", "1988-10-25"]
["61082455547", "84320556439", "OFFSPRING", "2016-06-11"]
["40119347287", "51352605215", "SIBLING", "2000-06-12"]
["77132792314", "51481148599", "SPOUSE", "2006-03-09"]
["82526933183", "68243571508", "SIBLING", "2014-01-13"]
["11825927551", "10318184959", "OFFSPRING", "1982-06-02"]
["19081257821", "51352605215", "SPOUSE", "1972-08-14"]
["71477117859", "93325550487", "PARENT", "2019-08-30"]
["92637325775", "90208511396", "OFFSPRING", "2006-05-06"]
["85113697370", "69568323150", "SPOUSE", "1979-11-25"]
["90857258083", "42043377667", "OFFSPRING", "1978-06-09"]
["89501156330", "57074933189", "SIBLING", "2001-04-09"]
["90792622874", "80309559746", "SPOUSE", "1990-03-24"]
["74538292115", "51074823863", "SPOUSE", "1991-07-18"]
["31744245149", "90857258083", "SPOUSE", "1992-05-30"]
["68243571508", "95975015130", "OFFSPRING", "1975-07-05"]
["19769920845", "77132792314", "OFFSPRING", "1999-02-05"]
["75899312417", "16867894969", "SPOUSE", "1998-06-25"]
["84320556439", "10318184959", "OFFSPRING", "1978-07-07"]
["93395191107", "62682190910", "SIBLING", "1987-02-15"]
["93395191107", "89099625554", "SIBLING", "1999-10-19"]
["40379122367", "81041355243", "PARENT", "1999-10-01"]
["90792622874", "11825927551", "OFFSPRING", "2007-02-04"]
["50534322010", "70232533224", "SPOUSE", "1987-02-28"]
["16867894969", "30422525320", "SIBLING", "2000-04-25"]
["90792622874", "40119347287", "SIBLING", "2004-04-12"]
["90857258083", "67320326336", "OFFSPRING", "1996-11-25"]
["19769920845", "74538292115", "SPOUSE", "2003-07-06"]
["88999167612", "93395191107", "SPOUSE", "2018-12-10"]
["90857258083", "81729767675", "OFFSPRING", "2010-05-13"]
["77132792314", "40119347287", "SPOUSE", "1973-06-10"]
["15292535857", "64675292699", "SPOUSE", "2001-04-23"]
["99015504057", "21840356076", "SIBLING", "2017-12-15"]
["30937646422", "50534322010", "SIBLING", "1981-10-18"]
["92132521081", "10318184959", "SPOUSE", "2008-05-26"]
["69568323150", "90792622874", "OFFSPRING", "2018-08-09"]
["84320556439", "89501156330", "SPOUSE", "1997-11-12"]
["51481148599", "50534322010", "SIBLING", "1974-02-16"]
["21840356076", "31937916488", "SPOUSE", "2005-01-07"]
["60998193625", "74538292115", "SIBLING", "1988-01-03"]
["55789494292", "46091309461", "SIBLING", "1983-11-17"]
["40119347287", "36763226184", "OFFSPRING", "1983-09-18"]
["69448536714", "93325550487", "SPOUSE", "1982-04-18"]
["67245716854", "59095165555", "SIBLING", "2018-06-04"]
["15292535857", "77132792314", "SPOUSE", "2008-07-31"]
["84320556439", "99015504057", "OFFSPRING", "2005-12-21"]
["90792622874", "82526933183", "SPOUSE", "1984-09-14"]
["46091309461", "75311164356", "SPOUSE", "1985-06-21"]
["36405577647", "67320326336", "OFFSPRING", "2004-03-16"]
["67245716854", "85113697370", "SIBLING", "2009-04-05"]
["69568323150", "31744245149", "SIBLING", "1985-09-13"]
["81041355243", "87474057898", "SIBLING", "2000-08-18"]
["72309449583", "47674564865", "SIBLING", "2011-08-29"]
["97321613111", "87118262521", "SPOUSE", "2010-04-30"]
["90792622874", "69568323150", "PARENT", "2018-08-09"]
["31190689286", "46091309461", "OFFSPRING", "2010-06-07"]
["19081257821", "77132792314", "SIBLING", "1981-07-26"]
["71477117859", "45892798683", "SIBLING", "1973-07-10"]
["75311164356", "69568323150", "PARENT", "1970-10-02"]
["33553765741", "30422525320", "SPOUSE", "1979-03-01"]
["42167291116", "65024499608", "SIBLING", "2015-11-03"]
["60998193625", "51074823863", "SPOUSE", "2004-12-02"]
["77132792314", "15292535857", "SPOUSE", "2008-07-31"]
["15292535857", "55059926183", "PARENT", "1970-09-13"]
["27829673848", "42167291116", "OFFSPRING", "1975-03-11"]
["31190689286", "36763226184", "SPOUSE", "1989-01-17"]
["64675292699", "88999167612", "OFFSPRING", "1978-09-06"]
["77888219035", "97224291214", "PARENT", "1999-02-04"]
["89501156330", "84320556439", "SPOUSE", "1997-11-12"]
["36191272611", "61082455547", "PARENT", "1978-08-05"]
["42043377667", "36191272611", "OFFSPRING", "2015-03-17"]
["30937646422", "84320556439", "SPOUSE", "2002-06-29"]
["90857258083", "92637325775", "SIBLING", "2010-11-28"]
["65024499608", "48070356279", "PARENT", "2015-06-20"]
["46730468386", "62682190910", "SPOUSE", "1990-12-13"]
["65024499608", "40119347287", "PARENT", "1995-01-22"]
["68457066061", "77132792314", "SPOUSE", "2005-05-08"]
["67245716854", "81729767675", "SIBLING", "2004-08-24"]
["99015504057", "87179915573", "PARENT", "1994-05-04"]
["82410881555", "75670892400", "PARENT", "2017-07-05"]
["76468328120", "49737196131", "SIBLING", "1978-12-17"]
["92637325775", "89099625554", "SPOUSE", "2004-10-16"]
